filename,accession_number,detected_form,folder_form,csv_form,filing_date,cik,url,mismatch_flag,notes
0001209191-16-088003_doc4.html.html,0001209191-16-088003,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919116088003/0001209191-16-088003-index.html,False,
0001209191-19-015560_doc4.html.html,0001209191-19-015560,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919119015560/0001209191-19-015560-index.html,False,
0001334036-24-000071_0001334036-24-000071.txt.html,0001334036-24-000071,4,4,4,0071-00-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403624000071/0001334036-24-000071-index.html,False,
0001334036-20-000126_wf-form4_160591762480896.xml.html,0001334036-20-000126,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403620000126/0001334036-20-000126-index.html,False,
0001334036-25-000021_wk-form4_1741134360.html.html,0001334036-25-000021,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403625000021/0001334036-25-000021-index.html,False,
0001209191-18-016043_0001209191-18-016043.txt.html,0001209191-18-016043,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919118016043/0001209191-18-016043-index.html,False,
0001181431-14-004333_rrd400887.xml.html,0001181431-14-004333,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143114004333/0001181431-14-004333-index.html,False,
0001334036-22-000033_wf-form4_164670394100816.html.html,0001334036-22-000033,4,4,4,0394-10-08,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403622000033/0001334036-22-000033-index.html,False,
0001334036-21-000030_0001334036-21-000030.txt.html,0001334036-21-000030,4,4,4,0030-00-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403621000030/0001334036-21-000030-index.html,False,
0001334036-22-000146_wf-form4_166086070161774.html.html,0001334036-22-000146,4,4,4,6086-07-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403622000146/0001334036-22-000146-index.html,False,
